Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-06 02:25:37.3N,99.56%,276.6MiB,1GiB,
2025-07-06 02:25:39.3N,99.14%,280.9MiB,1GiB,
2025-07-06 02:25:41.3N,100.20%,282.4MiB,1GiB,
2025-07-06 02:25:43.3N,99.52%,288.7MiB,1GiB,
2025-07-06 02:25:45.3N,100.15%,290.7MiB,1GiB,
2025-07-06 02:25:47.3N,100.15%,278.6MiB,1GiB,
2025-07-06 02:25:49.3N,100.13%,280.7MiB,1GiB,
2025-07-06 02:25:51.3N,98.74%,284.5MiB,1GiB,
2025-07-06 02:25:53.3N,100.38%,280.8MiB,1GiB,
2025-07-06 02:25:55.3N,99.75%,278.8MiB,1GiB,
2025-07-06 02:25:57.3N,100.54%,268.7MiB,1GiB,
2025-07-06 02:25:59.3N,99.27%,268.8MiB,1GiB,
2025-07-06 02:26:01.3N,100.13%,272.9MiB,1GiB,
2025-07-06 02:26:03.3N,100.53%,275MiB,1GiB,
2025-07-06 02:26:05.3N,100.07%,280.9MiB,1GiB,
2025-07-06 02:26:07.3N,100.60%,283.1MiB,1GiB,
2025-07-06 02:26:09.3N,99.71%,284.7MiB,1GiB,
2025-07-06 02:26:11.3N,100.39%,286.9MiB,1GiB,
2025-07-06 02:26:14.3N,99.27%,272.6MiB,1GiB,
2025-07-06 02:26:15.3N,99.23%,274.8MiB,1GiB,
2025-07-06 02:26:17.3N,100.21%,279MiB,1GiB,
2025-07-06 02:26:20.3N,99.94%,280.8MiB,1GiB,
2025-07-06 02:26:22.3N,100.23%,287.1MiB,1GiB,
2025-07-06 02:26:24.3N,99.63%,287MiB,1GiB,
2025-07-06 02:26:26.3N,102.36%,290.8MiB,1GiB,
2025-07-06 02:26:28.3N,99.84%,276.9MiB,1GiB,
2025-07-06 02:26:30.3N,100.15%,279MiB,1GiB,
2025-07-06 02:26:32.3N,100.60%,282.9MiB,1GiB,
2025-07-06 02:26:34.3N,100.33%,286.8MiB,1GiB,
2025-07-06 02:26:36.3N,100.36%,289.1MiB,1GiB,
2025-07-06 02:26:38.3N,102.29%,291MiB,1GiB,
2025-07-06 02:26:40.3N,96.57%,293.1MiB,1GiB,
2025-07-06 02:26:42.3N,103.94%,280.6MiB,1GiB,
2025-07-06 02:26:44.3N,97.26%,280.7MiB,1GiB,
2025-07-06 02:26:46.3N,100.01%,284.9MiB,1GiB,
2025-07-06 02:26:48.3N,101.51%,288.9MiB,1GiB,
2025-07-06 02:26:50.3N,100.44%,291.1MiB,1GiB,
2025-07-06 02:26:52.3N,99.82%,294.9MiB,1GiB,
2025-07-06 02:26:54.3N,100.04%,295MiB,1GiB,
2025-07-06 02:26:56.3N,100.81%,296.8MiB,1GiB,
2025-07-06 02:26:58.3N,98.23%,283.3MiB,1GiB,
2025-07-06 02:27:00.3N,101.25%,288.9MiB,1GiB,
2025-07-06 02:27:02.3N,101.92%,290.7MiB,1GiB,
2025-07-06 02:27:04.3N,98.98%,294.7MiB,1GiB,
2025-07-06 02:27:06.3N,101.35%,295MiB,1GiB,
2025-07-06 02:27:08.3N,101.94%,298.6MiB,1GiB,
2025-07-06 02:27:10.3N,101.17%,302.9MiB,1GiB,
2025-07-06 02:27:12.3N,98.39%,302.6MiB,1GiB,
2025-07-06 02:27:14.3N,102.11%,292.9MiB,1GiB,
2025-07-06 02:27:16.3N,101.51%,294.8MiB,1GiB,
2025-07-06 02:27:18.3N,104.03%,297.1MiB,1GiB,
2025-07-06 02:27:20.3N,102.59%,300.9MiB,1GiB,
2025-07-06 02:27:22.3N,102.55%,302.6MiB,1GiB,
2025-07-06 02:27:24.3N,101.40%,305MiB,1GiB,
2025-07-06 02:27:26.3N,100.97%,308.9MiB,1GiB,
2025-07-06 02:27:28.3N,100.22%,292.6MiB,1GiB,
2025-07-06 02:27:30.3N,99.63%,296.8MiB,1GiB,
